,0,1,2
0,-0.07433615,0.03915331,-0.15997662
1,0.0667775,-0.055714782,0.017591024
2,0.12290402,0.06395957,-0.0038651817
3,-0.09601983,0.05781848,-0.092166044
4,0.15542468,0.14388148,-0.006865957
5,-0.09664748,0.062696196,-0.115207694
6,0.0064551956,-0.12535574,0.02057151
7,-0.09509106,0.05098008,-0.10923824
8,-0.0055747028,-0.1269225,0.012983051
9,-0.061725132,-0.011259456,-0.08250617
10,-0.07218804,0.0102686295,-0.053459555
11,-0.092944056,0.058263797,-0.15374908
12,0.033098057,-0.10606434,0.023486907
13,-0.009443097,-0.112699166,0.013832924
14,0.0983448,0.015405097,0.0014216172
15,0.00059227855,-0.110510394,0.015325155
16,-0.08847166,0.046865247,-0.062492676
17,0.0007423302,-0.12594184,0.016413957
18,-0.08095055,0.033960767,-0.03477755
19,0.0008645291,-0.11767586,0.016803188
20,0.016095158,-0.12035694,0.02176547
21,-0.10697745,0.08206996,0.14450084
22,-0.009739588,-0.12409959,0.013804695
23,0.07898889,0.0090245595,-0.014875233
24,0.01628474,-0.12190261,0.021914303
25,0.11504138,0.05089434,-0.000266501
26,0.060588658,-0.07901521,0.023083292
27,0.02443706,-0.1117422,0.022281935
28,-0.08020578,0.032435913,-0.09207673
29,-0.10667162,0.08232424,0.17137201
30,-0.12167597,0.11145881,0.25981227
31,0.03605617,-0.11433529,0.025667615
32,0.007756939,-0.12416121,0.020849908
33,-0.03408244,-0.0770061,0.005923396
34,0.020780718,-0.103669174,0.01782397
35,-0.10042304,0.06522216,0.009291718
36,0.06512195,-0.0653015,0.01947692
37,-0.025616284,-0.084429026,-0.0047619212
38,-0.092541665,0.056899335,-0.16389042
39,0.09012116,-0.0046055894,0.009812904
40,-0.09505412,0.06184372,-0.13355784
41,0.14838515,0.13407454,-0.0057631675
42,-0.012575679,-0.12442613,0.01117166
43,0.012097398,-0.119319,0.021764152
44,0.15719031,0.1474045,-0.006706908
45,-0.0034998597,-0.13201909,0.01460323
46,0.030940598,-0.112478994,0.024824133
47,0.024816839,-0.108168155,0.019261098
48,-0.08085447,0.041121706,-0.16301706
49,-0.10908409,0.08466973,0.16392268
50,-0.121057,0.10938717,0.24646851
51,0.092784286,-0.0014379651,0.008386779
52,0.15672141,0.15026537,-0.007103948
53,-0.09941545,0.065677024,0.09279633
54,0.1396224,0.10699738,-0.0032807107
55,0.021331694,-0.11582716,0.02295308
56,-0.09569684,0.063042104,0.10811187
57,-0.119985186,0.10842824,0.24820828
58,0.10165751,0.018685695,0.0017289798
59,0.086834945,0.010885894,-0.011782826
60,0.11097825,0.046870265,-0.006417692
61,0.08926747,-0.0006110953,0.00056362717
62,-0.048412494,-0.045099124,0.014743497
63,-0.029223397,-0.087582335,0.0027420474
64,-0.114252955,0.096894324,0.21549447
65,-0.098114505,0.06335191,0.12699832
66,-0.08556208,0.03768875,-0.0151759945
67,-0.09367621,0.058033966,-0.12208869
68,0.12318196,0.06555534,8.283669e-05
69,0.024764778,-0.118318446,0.023345532
70,0.00013113988,-0.116818555,0.015251444
71,-0.062922895,-0.0056272703,-0.08867222
72,-0.035901997,-0.07261985,-0.014457414
73,0.14826025,0.13083681,-0.0063489988
74,-0.08437765,0.03726595,-0.11412308
75,0.1577328,0.14897077,-0.0068556084
76,0.05896804,-0.07510538,0.021864025
77,-0.03688055,-0.069232725,0.005504178
78,-0.052861378,0.0145788705,-0.122151956
79,-0.01349615,-0.11742794,0.013640928
80,-0.075625114,0.0132155325,0.030552644
81,-0.08639118,0.046639092,-0.09398698
82,0.15187629,0.13386367,-0.005464632
83,0.06008041,-0.07415249,0.021556307
84,0.061899364,-0.0711812,0.020859655
85,0.076411195,-0.034642152,0.010829959
86,0.06535162,-0.06383505,0.018980175
87,0.11052552,0.03998221,0.003695137
88,-0.007608769,-0.10871709,0.013166069
89,-0.08316114,0.03973603,-0.14285688
90,-0.025441865,-0.09393234,0.008371272
91,-0.095674366,0.06262614,-0.15320246
92,-0.0058642086,-0.1076767,0.014428419
93,0.009635929,-0.119474545,0.020534141
94,0.0012118618,-0.12863712,0.019347401
95,-0.008212589,-0.12194664,0.015881756
96,0.12352388,0.06936713,-0.00091620616
97,0.09753274,0.009485974,-0.00014587022
98,-0.09148863,0.04750358,-0.12170715
99,-0.0074544917,-0.1016348,0.012170728
100,-0.09200535,0.05008085,-0.085264735
101,0.15221709,0.14072683,-0.006369846
102,0.09061098,-0.0006572677,0.0019583253
103,0.15432377,0.14657183,-0.00682934
104,-0.07234117,0.009883533,-0.038951814
105,-0.028156431,-0.08486781,0.009139475
106,-0.09534702,0.059885483,-0.1665396
107,-0.114168696,0.09810389,0.2166875
108,-0.11272698,0.09316995,0.19752882
109,0.11692716,0.055766232,0.000962189
110,0.04445891,-0.099496245,0.025071101
111,-0.09261199,0.04962072,-0.12326792
112,-0.08225677,0.032959793,-0.14481135
113,0.09920454,0.018619252,-0.005696976
114,-0.10991247,0.08972889,0.15586163
115,-0.09020389,0.05473911,-0.13694432
116,-0.03723126,-0.062950835,-0.010306873
117,-0.008736366,-0.12205619,0.016305342
118,0.11855375,0.05431688,0.0021252267
119,-0.05963558,-0.022170037,0.022794308
120,-0.12131133,0.11110795,0.25818136
121,0.040056303,-0.097834654,0.022374038
122,0.13589959,0.111048646,-0.0036297042
123,-0.09569317,0.060083546,0.061075907
124,0.077533044,-0.0414889,0.016351439
125,0.13156596,0.08926213,-0.0045355232
126,0.09748375,0.02333844,-0.006735068
127,-0.083257414,0.043132704,-0.16771977
128,0.042317137,-0.10620127,0.02597068
129,0.06987057,-0.05438593,0.019132294
130,-0.07477033,0.017328346,0.024890555
131,0.03835447,-0.100819446,0.023474062
132,-0.0773022,0.036006384,-0.14901447
133,0.1567434,0.14974238,-0.007143048
134,-0.08979189,0.04528257,-0.10639441
